scenarioId,variantId,eventIndex,eventType,repAttemptId,setIndex,expectedLeadBefore,observedLead,bothFeetAtStart,ascentValid,topPhaseValid,bothFeetReturnedToFloor,trackingValid,outcome,credited,sfxPlayed,expectedLeadAfter,acceptedRepCount,leftLeadRepCount,rightLeadRepCount,setCompleted,progressionEligible,validTimeMs,seedBefore,seedAfter,restoreState,sourceFunction,notes
step_up_left_first_set_12_reps,base,1,rep_evidence,step_up_left_first_set_12_reps-rep-1,0,left,left,true,true,true,true,true,accepted,true,true,right,1,1,0,false,false,0,,,,resolveStepUpRepEvidence;advanceStepUpAlternationState,
step_up_left_first_set_12_reps,base,2,rep_evidence,step_up_left_first_set_12_reps-rep-2,0,right,right,true,true,true,true,true,accepted,true,true,left,2,1,1,false,false,0,,,,resolveStepUpRepEvidence;advanceStepUpAlternationState,
step_up_left_first_set_12_reps,base,3,rep_evidence,step_up_left_first_set_12_reps-rep-3,0,left,left,true,true,true,true,true,accepted,true,true,right,3,2,1,false,false,0,,,,resolveStepUpRepEvidence;advanceStepUpAlternationState,
step_up_left_first_set_12_reps,base,4,rep_evidence,step_up_left_first_set_12_reps-rep-4,0,right,right,true,true,true,true,true,accepted,true,true,left,4,2,2,false,false,0,,,,resolveStepUpRepEvidence;advanceStepUpAlternationState,
step_up_left_first_set_12_reps,base,5,rep_evidence,step_up_left_first_set_12_reps-rep-5,0,left,left,true,true,true,true,true,accepted,true,true,right,5,3,2,false,false,0,,,,resolveStepUpRepEvidence;advanceStepUpAlternationState,
step_up_left_first_set_12_reps,base,6,rep_evidence,step_up_left_first_set_12_reps-rep-6,0,right,right,true,true,true,true,true,accepted,true,true,left,6,3,3,false,false,0,,,,resolveStepUpRepEvidence;advanceStepUpAlternationState,
step_up_left_first_set_12_reps,base,7,rep_evidence,step_up_left_first_set_12_reps-rep-7,0,left,left,true,true,true,true,true,accepted,true,true,right,7,4,3,false,false,0,,,,resolveStepUpRepEvidence;advanceStepUpAlternationState,
step_up_left_first_set_12_reps,base,8,rep_evidence,step_up_left_first_set_12_reps-rep-8,0,right,right,true,true,true,true,true,accepted,true,true,left,8,4,4,false,false,0,,,,resolveStepUpRepEvidence;advanceStepUpAlternationState,
step_up_left_first_set_12_reps,base,9,rep_evidence,step_up_left_first_set_12_reps-rep-9,0,left,left,true,true,true,true,true,accepted,true,true,right,9,5,4,false,false,0,,,,resolveStepUpRepEvidence;advanceStepUpAlternationState,
step_up_left_first_set_12_reps,base,10,rep_evidence,step_up_left_first_set_12_reps-rep-10,0,right,right,true,true,true,true,true,accepted,true,true,left,10,5,5,false,false,0,,,,resolveStepUpRepEvidence;advanceStepUpAlternationState,
