scenarioId,repIndex,repAttemptId,expectedLeadSide,observedLeadSide,endReason,valid,credited,expectedFlip,expectedSfx,bothFeetAtStart,topPhaseValid,bothFeetReturnedToFloor,trackingValid
valid_12_rep_set_6_and_6,1,valid12-1,left,left,accepted,true,true,true,true,true,true,true,true
valid_12_rep_set_6_and_6,2,valid12-2,right,right,accepted,true,true,true,true,true,true,true,true
valid_12_rep_set_6_and_6,3,valid12-3,left,left,accepted,true,true,true,true,true,true,true,true
valid_12_rep_set_6_and_6,4,valid12-4,right,right,accepted,true,true,true,true,true,true,true,true
valid_12_rep_set_6_and_6,5,valid12-5,left,left,accepted,true,true,true,true,true,true,true,true
valid_12_rep_set_6_and_6,6,valid12-6,right,right,accepted,true,true,true,true,true,true,true,true
valid_12_rep_set_6_and_6,7,valid12-7,left,left,accepted,true,true,true,true,true,true,true,true
valid_12_rep_set_6_and_6,8,valid12-8,right,right,accepted,true,true,true,true,true,true,true,true
valid_12_rep_set_6_and_6,9,valid12-9,left,left,accepted,true,true,true,true,true,true,true,true
valid_12_rep_set_6_and_6,10,valid12-10,right,right,accepted,true,true,true,true,true,true,true,true
valid_12_rep_set_6_and_6,11,valid12-11,left,left,accepted,true,true,true,true,true,true,true,true
valid_12_rep_set_6_and_6,12,valid12-12,right,right,accepted,true,true,true,true,true,true,true,true
wrong_lead_no_credit_no_flip,1,wrong-lead-1,left,right,wrong_lead,false,false,false,false,true,true,true,true
generic_no_credit,1,generic_no_credit,left,,invalid_phase,false,false,false,false,true,true,true,true
no_start_floor_no_credit,1,no_start_floor_no_credit,left,left,invalid_phase,false,false,false,false,false,true,true,true
no_return_floor_no_credit,1,no_return_floor_no_credit,left,left,invalid_phase,false,false,false,false,true,true,false,true
tracking_interruption_no_credit,1,tracking_interruption_no_credit,left,left,tracking_interrupted,false,false,false,false,true,true,true,false
