scenarioId,variantId,voiceId,latencyProfile,eventIndex,eventId,controllerStateBefore,controllerStateAfter,eventScheduledAtMs,cueKeys,outcome,measurementStartsAtMs,measurementEndsAtMs,goPlaybackStartAtMs,blockedByVoice,visibleRetry,staleAfterStateExit,notes
full_normal_mpv2_checkup_clara,full_normal_mpv2_checkup_clara:clara:L0:default,clara,L0,1,voice_runtime_guarded_transition,stage_before,stage_after,0,mpv2_balance_attempt_start,blocked_until_voice_completed,,,,true,false,false,
full_normal_mpv2_checkup_clara,full_normal_mpv2_checkup_clara:clara:L100:default,clara,L100,2,voice_runtime_guarded_transition,stage_before,stage_after,0,mpv2_balance_attempt_start,blocked_until_voice_completed,,,,true,false,false,
full_normal_mpv2_checkup_clara,full_normal_mpv2_checkup_clara:clara:L250:default,clara,L250,3,voice_runtime_guarded_transition,stage_before,stage_after,0,mpv2_balance_attempt_start,blocked_until_voice_completed,,,,true,false,false,
full_normal_mpv2_checkup_marcus,full_normal_mpv2_checkup_marcus:marcus:L0:default,marcus,L0,4,voice_runtime_guarded_transition,stage_before,stage_after,0,mpv2_balance_attempt_start,blocked_until_voice_completed,,,,true,false,false,
full_normal_mpv2_checkup_marcus,full_normal_mpv2_checkup_marcus:marcus:L100:default,marcus,L100,5,voice_runtime_guarded_transition,stage_before,stage_after,0,mpv2_balance_attempt_start,blocked_until_voice_completed,,,,true,false,false,
full_normal_mpv2_checkup_marcus,full_normal_mpv2_checkup_marcus:marcus:L250:default,marcus,L250,6,voice_runtime_guarded_transition,stage_before,stage_after,0,mpv2_balance_attempt_start,blocked_until_voice_completed,,,,true,false,false,
chair_practice_to_official_attempt,chair_practice_to_official_attempt:clara:L0:immediate,clara,L0,7,chair_official_ready_voice_completed,chair_countdown,chair_countdown,0,mpv2_chair_official_ready,completed,,,,false,false,false,
chair_practice_to_official_attempt,chair_practice_to_official_attempt:clara:L0:immediate,clara,L0,8,countdown_three_started,chair_countdown,chair_countdown,0,countdown-three,started,,,,true,false,false,
chair_practice_to_official_attempt,chair_practice_to_official_attempt:clara:L0:immediate,clara,L0,9,countdown_two_started,chair_countdown,chair_countdown,0,countdown-two,started,,,,true,false,false,
chair_practice_to_official_attempt,chair_practice_to_official_attempt:clara:L0:immediate,clara,L0,10,countdown_one_started,chair_countdown,chair_countdown,0,countdown-one,started,,,,true,false,false,
