jobId,logicalCueKey,physicalCueKey,voiceId,exactScript,outputPath,status,provider,model,providerVoiceId,fileSizeBytes,sha256,durationMs,sampleRateHz,channels,metadataWritten,manifestRegistered,verifyAudioCovered,errorCode,errorMessage,notes
voice-v21-001,checkup-balance-feet-together-v21,checkup-balance-feet-together-v21,clara,Feet together. Keep your eyes open and support within reach.,assets/audio/voice/clara/checkup-balance-feet-together-v21.mp3,skipped_current,elevenlabs,eleven_multilingual_v2,rfkTsdZrVWEVhDycUYn9,64409,ace10d61647d2e470be13c2232edfd3a3d45073ab79c58ed6b1e4191f166ef49,3947,44100,1,true,true,true,,,generatedAt=2026-07-02T15:05:52.182Z; Voice V2.1 refresh from final cue registry. Existing generic cue omits eyes-open/support language.
voice-v21-002,checkup-balance-feet-together-v21,checkup-balance-feet-together-v21,marcus,Feet together. Keep your eyes open and support within reach.,assets/audio/voice/marcus/checkup-balance-feet-together-v21.mp3,skipped_current,elevenlabs,eleven_multilingual_v2,lUTamkMw7gOzZbFIwmq4,56886,61b5c5af4966b7eac9687e5ef3250da56fa5bac0034567c172579ded50920768,3483,44100,1,true,true,true,,,generatedAt=2026-07-02T15:05:52.182Z; Voice V2.1 refresh from final cue registry. Existing generic cue omits eyes-open/support language.
voice-v21-003,checkup-balance-next-stance-v21,checkup-balance-next-stance-v21,clara,Nicely done. I will guide the next stance.,assets/audio/voice/clara/checkup-balance-next-stance-v21.mp3,skipped_current,elevenlabs,eleven_multilingual_v2,rfkTsdZrVWEVhDycUYn9,38914,2d0874d3fb1aef62285266dc4bada7678ec170125855ad9461ac8406b234921a,2368,44100,1,true,true,true,,,generatedAt=2026-07-02T15:05:52.182Z; Voice V2.1 refresh from final cue registry. Generic completion lacks next-stance meaning.
voice-v21-004,checkup-balance-next-stance-v21,checkup-balance-next-stance-v21,marcus,Nicely done. I will guide the next stance.,assets/audio/voice/marcus/checkup-balance-next-stance-v21.mp3,skipped_current,elevenlabs,eleven_multilingual_v2,lUTamkMw7gOzZbFIwmq4,36824,860f7d3d80b5877ef368c03b32a5159e62b352de7f0bd5a3fcc060717e9db339,2229,44100,1,true,true,true,,,generatedAt=2026-07-02T15:05:52.182Z; Voice V2.1 refresh from final cue registry. Generic completion lacks next-stance meaning.
voice-v21-005,checkup-balance-semi-tandem-left-v21,checkup-balance-semi-tandem-left-v21,clara,Place your left foot half a step forward. Keep your eyes open.,assets/audio/voice/clara/checkup-balance-semi-tandem-left-v21.mp3,skipped_current,elevenlabs,eleven_multilingual_v2,rfkTsdZrVWEVhDycUYn9,60648,e9ac019715af4fdb4831b93d3383837011494631ed0323161d4ef9b860cf5983,3715,44100,1,true,true,true,,,generatedAt=2026-07-02T15:05:52.182Z; Voice V2.1 refresh from final cue registry. Existing cue has no selected lead-foot side.
voice-v21-006,checkup-balance-semi-tandem-left-v21,checkup-balance-semi-tandem-left-v21,marcus,Place your left foot half a step forward. Keep your eyes open.,assets/audio/voice/marcus/checkup-balance-semi-tandem-left-v21.mp3,skipped_current,elevenlabs,eleven_multilingual_v2,lUTamkMw7gOzZbFIwmq4,53960,e475b457c57fb672d548c1cc67ce987118ff321215f6d0fe923c54b575befc54,3297,44100,1,true,true,true,,,generatedAt=2026-07-02T15:05:52.182Z; Voice V2.1 refresh from final cue registry. Existing cue has no selected lead-foot side.
voice-v21-007,checkup-balance-semi-tandem-right-v21,checkup-balance-semi-tandem-right-v21,clara,Place your right foot half a step forward. Keep your eyes open.,assets/audio/voice/clara/checkup-balance-semi-tandem-right-v21.mp3,skipped_current,elevenlabs,eleven_multilingual_v2,rfkTsdZrVWEVhDycUYn9,60648,de36af2720038aa20ea7d59f504c7a49bd5aeb68e52136388ddca4ca704055bd,3715,44100,1,true,true,true,,,generatedAt=2026-07-02T15:05:52.182Z; Voice V2.1 refresh from final cue registry. Existing cue has no selected lead-foot side.
voice-v21-008,checkup-balance-semi-tandem-right-v21,checkup-balance-semi-tandem-right-v21,marcus,Place your right foot half a step forward. Keep your eyes open.,assets/audio/voice/marcus/checkup-balance-semi-tandem-right-v21.mp3,skipped_current,elevenlabs,eleven_multilingual_v2,lUTamkMw7gOzZbFIwmq4,52288,2494a33fa6faf69fa8935a313dc22448ce63ac40075b15afd1ea082c178299ab,3204,44100,1,true,true,true,,,generatedAt=2026-07-02T15:05:52.182Z; Voice V2.1 refresh from final cue registry. Existing cue has no selected lead-foot side.
voice-v21-009,checkup-balance-single-leg-left-v21,checkup-balance-single-leg-left-v21,clara,Stand on your left leg and lift your right foot slightly.,assets/audio/voice/clara/checkup-balance-single-leg-left-v21.mp3,skipped_current,elevenlabs,eleven_multilingual_v2,rfkTsdZrVWEVhDycUYn9,49363,e6521edfacecc6b85a4771b7a238b0c6797b7e9aef860a8b00354997630a1063,3019,44100,1,true,true,true,,,generatedAt=2026-07-02T15:05:52.182Z; Voice V2.1 refresh from final cue registry. Existing cue uses placeholder selected leg.
voice-v21-010,checkup-balance-single-leg-left-v21,checkup-balance-single-leg-left-v21,marcus,Stand on your left leg and lift your right foot slightly.,assets/audio/voice/marcus/checkup-balance-single-leg-left-v21.mp3,skipped_current,elevenlabs,eleven_multilingual_v2,lUTamkMw7gOzZbFIwmq4,51035,ba31148603395b32f3bd2e8b328b1d35305b545a400bb65c52ff6b2f8687f58a,3111,44100,1,true,true,true,,,generatedAt=2026-07-02T15:05:52.182Z; Voice V2.1 refresh from final cue registry. Existing cue uses placeholder selected leg.
voice-v21-011,checkup-balance-single-leg-right-v21,checkup-balance-single-leg-right-v21,clara,Stand on your right leg and lift your left foot slightly.,assets/audio/voice/clara/checkup-balance-single-leg-right-v21.mp3,skipped_current,elevenlabs,eleven_multilingual_v2,rfkTsdZrVWEVhDycUYn9,53124,2c4d6278f36e461cd8c4e71d59fa36cb59d37dc785be14db96dae5917e187bd2,3251,44100,1,true,true,true,,,generatedAt=2026-07-02T15:05:52.182Z; Voice V2.1 refresh from final cue registry. Existing cue uses placeholder selected leg.
